SR #,COI,Contact,Profession,Expertise,Title,Date Added to COI Network,Next Follow Up Date,Action Required
,CenterOfInfluence001,,,,,,2023-10-23,Associate004 to connect
1,CenterOfInfluence002,Associate003/Associate004,Charity Leader,Networking,Fund Development Specialist,2023-10-10,2023-10-23,Associate004 to connect
2,CenterOfInfluence003,Associate005,Graphic Designer,printing,Owner,,2018-07-30,Associate006 to check with Associate005 has she respond and what is the next step
3,CenterOfInfluence004,Associate005,Lawyer,real and estate,Proprietor,,2018-07-30,Associate005 and Associate010 to advise if we will keep CenterOfInfluence004 as COI
4,CenterOfInfluence005,Associate005/Associate007,Accountant,General,Partner,2018-03-27,2018-07-30,Associate005 and Associate010 to advise if we will keep CenterOfInfluence004 as COI
5,CenterOfInfluence006,Associate005,Accountant,CBV,Partner,2017-07-14,2018-07-30,Follow up June 18th with questionare
6,CenterOfInfluence007,Associate005,Accountant,Small business,Proprietor,2018-02-20,2018-07-30,Follow up June 18th with questionare
7,CenterOfInfluence008,Associate006,Accountant,Small business,Proprietor,2018-03-07,2018-07-30,Follow up June 18th with questionare
8,CenterOfInfluence009,No,Accountant,Farming,Partner,2017-07-14,2018-07-30,Follow up June 18th with questionare
9,CenterOfInfluence010,Associate006,Bus. Coach,Bus. Coach,Proprietor,2017-11-06,2018-07-30,Follow up June 18th with questionare
10,CenterOfInfluence011,Associate005,Lawyer,divorce,Proprietor,2018-03-06,2018-07-30,Follow up June 18th with questionare
11,CenterOfInfluence012,Associate006,Lawyer,contract neg,Proprietor,2017-07-14,2018-07-30,Follow up June 18th with questionare
12,CenterOfInfluence013,Associate006,Lawyer,farming,Partner,2017-07-24,2018-07-30,Follow up June 18th with questionare
13,CenterOfInfluence014,Associate006,Optician,mobile,Proprietor,2017-11-22,2018-07-30,Follow up June 18th with questionare
14,CenterOfInfluence015,Associate005,Bus. Coach,Bus. Coach,Proprietor,2018-08-24,2018-07-30,Follow up June 18th with questionare
15,CenterOfInfluence016,Associate007,Accountant,us and non res,Partner,2017-07-14,2018-07-30,Follow up June 18th with questionare
16,CenterOfInfluence017,Associate007,Actuary,GBL,VP,2017-07-26,2018-07-30,Follow up June 18th with questionare
17,CenterOfInfluence018,Associate005,Consultant,trans. seniors,Proprietor,2017-11-06,2018-07-30,Follow up June 18th with questionare
18,CenterOfInfluence019,Associate008,Dental hygienist,mobile dental,Proprietor,2017-11-27,2018-07-30,Follow up June 18th with questionare
19,CenterOfInfluence020,Associate005,Dentist,sleep apnea,Proprietor,2017-11-23,2018-07-30,Follow up June 18th with questionare
20,CenterOfInfluence021,Associate008,Lawyer,estate,Proprietor,2018-03-27,2018-07-30,Follow up June 18th with questionare
21,CenterOfInfluence022,No,Lawyer,real and estate,Proprietor,2017-07-03,2018-07-30,Follow up June 18th with questionare
22,CenterOfInfluence023,Associate005,Lawyer,real and estate,Proprietor,2018-02-27,2018-07-30,Follow up June 18th with questionare
23,CenterOfInfluence024,Associate006,Lawyer,farming,Partner,2018-03-24,2018-07-30,Follow up June 18th with questionare
24,CenterOfInfluence025,Associate006,Lawyer,farming,Partner,2017-07-24,2018-07-30,Follow up June 18th with questionare
25,CenterOfInfluence026,Associate005,Realtor,real and estate,Agent,2017-07-03,2018-07-30,Follow up June 18th with questionare
26,CenterOfInfluence027,Associate006,Realtor,real and estate,Agent,2017-03-17,2018-07-30,Follow up June 18th with questionare
27,CenterOfInfluence028,Associate005,phys,naturapathy,Owner,,2018-07-30,Follow up June 18th with questionare
28,CenterOfInfluence029,Associate005,bus owner,heart specialist,Owner,,2018-07-30,Follow up June 18th with questionare
29,CenterOfInfluence030,Associate007,Realtor,realtor,,,2018-07-30,Follow up June 18th with questionare
30,CenterOfInfluence031,Associate009,Realtor,realtor,,,2018-07-30,Follow up June 18th with questionare
31,CenterOfInfluence032,Associate005,nurse,nurse,,,2018-07-30,Follow up June 18th with questionare
32,CenterOfInfluence033,Associate006,Accountant,CBV,,,2018-07-30,Follow up June 18th with questionare
33,CenterOfInfluence034,Associate005,Accountant,Female entrepreneur,Proprietor,2017-03-06,2018-07-30,Follow up June 18th with questionare
34,CenterOfInfluence035,Associate005/Associate007,Accountant,Corporate,Partner,2017-07-03,2018-07-30,Follow up June 18th with questionare
35,CenterOfInfluence036,Associate005/Associate007,Accountant,Corporate,Partner,2017-07-03,2018-07-30,Follow up June 18th with questionare
36,CenterOfInfluence037,Associate006,CEO,Coaching Expert,,,2018-07-30,Follow up June 18th with questionare
37,CenterOfInfluence038,Associate006,Lawyer,estate,Proprietor,2017-11-23,2018-07-30,Follow up June 18th with questionare
38,CenterOfInfluence039,Associate006,Accountant,CBV,partner,,2018-07-30,Follow up June 18th with questionare
39,Client009,Associate005,phys,,,,2018-07-30,Associate011 to speak with Associate005 about how to approach
40,CenterOfInfluence040,Associate005,dentist,,,,2018-07-30,Associate011 to speak with Associate005 about how to approach
41,CenterOfInfluence041,Associate006,Accountant,,,,2018-07-30,Follow up June 18th with questionare
42,CenterOfInfluence042,Associate006,,,,,2018-07-30,Follow up June 18th with questionare
43,CenterOfInfluence043,Associate005,Accountant,,,06-14,2018-07-30,Associate011 to update and advise next step
44,CenterOfInfluence044,Associate007,Accountant,,principal,05-26,2018-07-30,Call the week of July 9th
45,CenterOfInfluence045,Associate006,Accountant,CPA,principal,05-26,2018-07-30,Call the week of July 9th
46,CenterOfInfluence046,Associate006,Accountant,CGA,,04-13,2018-07-30,Call back on July 9th
47,CenterOfInfluence047,Associate006,Accountant,CGA,principal,05-26,2018-07-30,Associate011 will call today
48,CenterOfInfluence048,Associate006,Accountant,,partner,06-14,2018-07-30,Associate011 to update after the meeting
49,CenterOfInfluence049,Associate006,Accountant,CA,partner,,2018-07-30,Associate011 to call and follow up
