SR #,Source,Referrer,Prospect,Relationship,Associate,Referral Date,Added to Advisor Portal,Connected to Referred Contact,Contact Prospect,Discovery Package Sent,Discovery Package Received,First Meeting Date,Final Status,New Client Date,Thank You to New Client,Thank You to Existing Client,Appreciation Event for Existing Client,Appreciation Event for New Client,Sales Credits,3 Month Service Call,# of Referrals Received,Action
1,C,Client001,Prospect001,R,Associate001,2026-01-15,TRUE,TRUE,TRUE,,,,,,,,,,,,,
2,C,Client002,Prospect002,R,Associate001,2026-01-21,TRUE,TRUE,TRUE,,,,,,,,,,,,,
3,C,Client003,Prospect003,R,Associate001,2026-01-16,TRUE,TRUE,TRUE,,,,,,,,,,,,,
4,O,Client004,Prospect004,F,Associate002,2026-03-19,FALSE,N/A,TRUE,N/A,,,,,,,,,,,,
5,C,Client005,Prospect005,R,Associate001,,TRUE,TRUE,TRUE,,,,,,,,,,,,,
6,C,Client006,Prospect006,R,Associate001,,FALSE,FALSE,TRUE,,,,,,,,,,,,,
7,E,Event001,Prospect007,N/A,Associate001,,FALSE,FALSE,TRUE,,,,,,,,,,,,,
8,E,Event001,Prospect008,N/A,Associate001,,FALSE,FALSE,TRUE,,,,,,,,,,,,,
9,C,Client007,Prospect009,F,Associate002,2025-12-01,TRUE,TRUE,TRUE,2025-12-29,NOT_RECEIVED,2026-01-01,1,2026-02-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,
10,C,Client008,Prospect010,R,Associate001,,FALSE,FALSE,TRUE,,,,,,,,,,,,,
11,E,Event002,Prospect011,N/A,Associate001,,FALSE,FALSE,TRUE,,,,,,,,,,,,,
12,E,Event002,Prospect012,N/A,Associate001,,FALSE,FALSE,TRUE,,,,,,,,,,,,,
13,E,Event002,Prospect013,N/A,Associate001,,FALSE,FALSE,TRUE,,,,,,,,,,,,,
14,C,Client009,Prospect014,R,Associate001,2015-11-15,FALSE,FALSE,TRUE,,,,,,,,,,,,,
15,C,Client010,Prospect015,R,Associate001,2026-05-05,FALSE,FALSE,TRUE,,,,,,,,,,,,,
16,E,Event003,Prospect016,C,Associate002,,FALSE,,,2026-06-25,,2026-08-14,,,,,,,,,,APNA for Discovery Meeting
17,E,Event003,Prospect017,C,Associate002,,FALSE,,,2026-06-25,,2026-08-14,,,,,,,,,,APNA for Discovery Meeting
18,O,Client011,Prospect018,C,Associate001,,FALSE,,,2026-06-24,2026-07-07,2026-07-10,,,,,,,,,,APNA for Discovery Meeting
19,E,Event003,Prospect019,F,Associate002,06-18,TRUE,FALSE,TRUE,2026-06-22,2026-06-29,2026-07-03,2,,,,,,,,,Refering to IG advisor
20,C,Client012,Prospect020,R,Associate001,,TRUE,,,,,,,,,,,,,,,APNA for Discovery Meeting
21,C,Client013,Prospect021,R,Associate002,,,,,,,,,,,,,,,,,
22,E,Event004,Prospect022,N/A,Associate001,07-18,TRUE,,,,,,,,,,,,,,,
1,C,Client023,Prospect023,F,Associate026,2017-04-28,2017-04-28,2017-04-28,N/A,N/A,N/A,N/A,4,,,,,,,,,PLMF closed
2,C,Client024,Prospect024,,Associate026,2017-04-21,2017-04-21,2017-04-21,2017-04-21,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
3,C,Client025,Prospect025,R,Associate026,2017-03-31,2017-03-31,2017-03-31,N/A,N/A,N/A,N/A,3,,,,2017-04-30,,,,,PLMF closed
4,C,Client026,Prospect026,F,Associate026,2017-03-16,2017-03-16,2017-03-16,2017-03-06,2017-03-16,N/A,2017-03-16,3,,,,,,,,,PLMF closed
5,C,Client027,Prospect027,F,Associate026,2017-03-01,2017-03-03,2017-03-03,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
6,C,Client027,Prospect028,F,Associate026,2017-03-01,2017-03-03,2017-03-03,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
7,C,Client028,Prospect029,R,Associate026,2017-02-01,2017-02-01,2017-02-01,N/A,N/A,N/A,N/A,3,,,,2017-04-30,,,,,PLMF closed
8,C,Client029,Prospect030,,Associate026,2017-01-19,2017-01-19,2017-01-19,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
9,E,Event012,Prospect031,,Associate026,2017-01-19,2017-01-19,2017-01-19,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
10,C,Client029,Prospect032,,Associate026,2017-01-19,2017-01-20,2017-01-20,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
11,C,Client030,Prospect033,,Associate026,2017-01-19,2017-01-19,2017-01-19,2017-02-15,2017-02-16,2017-02-28,2017-02-28,3,,,,,,,,,PLMF closed
12,C,Client030,Prospect034,F,Associate026,2017-01-19,2017-01-19,2017-01-19,N/A,N/A,N/A,N/A,5,,,,2017-03-05,,,,,PLMF closed
13,C,Client031,Prospect035,,Associate026,2016-11-08,2016-11-09,2016-11-09,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
14,C,Client031,Prospect036,R,Associate026,2016-11-08,2016-11-09,2016-11-09,N/A,N/A,N/A,N/A,3,,,,2017-03-05,,,,,PLMF closed
15,C,Client032,Prospect037,,Associate026,2016-10-04,2016-10-04,2017-02-07,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
16,C,Client026,Prospect038,,Associate026,2016-10-03,2016-10-03,2016-10-03,2016-10-04,2016-10-04,2016-10-17,2016-10-17,3,,,,,,,,,PLMF closed
17,C,Client026,Prospect039,,Associate026,2016-10-03,2016-10-03,2016-10-03,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
18,C,Client033,Prospect040,,Associate026,2016-09-14,2016-09-14,2016-09-14,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
19,C,Client033,Prospect041,,Associate026,2016-09-13,2016-09-13,2016-09-13,N/A,N/A,N/A,N/A,3,,,,,,,,,PLMF closed
